,Text,Topic,Cluster
27,"Baking business. This one is a little more profitable than cleaning and service. Depending on location, one can get the required equipment for a profit.",baking business,3.0
28,"Baking Shop. One could purchase a basic 1,000 square feet bakery at a reasonable price for $3500. There are many small bakery shops on the market, but they are not profitable.",baking shop,3.0
29,"Confectioner. One could purchase a cookie machine at $500, which has the capability for making several different varieties of cookies. This comes at an affordable price and is relatively small in size.",confectioner,3.0
30,Baking. Making some bread or other baked goods would be an economical choice. One could make a large bag of flour at as low as $2000.,baking,3.0
31,"Baking Restaurant. This is very profitable for the business, taking the total up to as high as $18000. The low start up costs makes this one of the best options for start up.",baking restaurant,3.0
32,"Baking Stores. As good as these would look with a fancy building, for only $3000, one can start this business. This business is almost to the point of becoming a full-time job. For as low as $1600 to $2000, one can find a suitable location and start this business. While the profit margins are quite low, due to high labor cost, these stores can create a comfortable living, which includes a high income.",baking stores,3.0
33,"Coffee Roast. This option is also one of the low-cost options. This business can start with only $250 to get up and working, and then expand to more in-demand customers. This is still a fairly profitable business, but demand is very limited and is dependent on high coffee consumption in your area.",coffee roast,3.0
34,"Baking and Pastry shop. As low as $1500, one can open a bakery and have a profitable business. There are a lot of varieties for different customers.",baking and pastry shop,3.0
35,Cleaner/Dry cleaner. One could start this as a full time business with a large staff of employees for as low as $500/day. One can increase this to $5000+ with an increase in employees. This is a viable option if there is ample demand.,cleaner/dry cleaner,4.0
36,Laundry and Dry Cleaning. This makes about $2000 in profit with a good location. One can increase this amount by having more staff and having a better location.,laundry and dry cleaning,4.0
37,"Laundries. One could set up a small laundry business for as low as $2000 to about $4000 to get started. This may not be extremely profitable, but is good if you have no retail experience. One can even use these services for free to save as much as possible.",laundries,4.0
38,"Laundromat. One could set up a business to provide cleaning services for high class hotels, for as low as $3000, by having a small cleaning service on each floor or by providing general cleaning for a certain amount of hours. There is very little demand for this business, but it is profitable and is usually the only option available.",laundromat,4.0
39,"Air Conditioning Service. This can also be run by one person and can be as low as $10,000 if they are not taking in rent. The profit margin of this small business would be quite high considering that the investment would be minimal.",air conditioning service,4.0
40,"Laundry Equipment. If one wants a profitable business, cleaning services are not a good choice because it has to have a store. The low profit margins do not allow for a heavy cost of sales, so for as low as $1500 one could get up and running.",laundry equipment,4.0
41,"Laundry. Laundry is an excellent choice. One could start with a few $300 suits and get them laundered and turned into cash overnight for very little money. With the business up and running, one could turn the money into even more clothes to sell. These are some of the richest businesses that you could ever start.",laundry,4.0
42,"House Cleaning. House Cleaning is a bit of an expensive way to go, but if one is determined they can open the shop for as low as $3000, which would allow the owner to make enough money to pay back a loan.",house cleaning,4.0
43,"Carpet & Floor Covering. For as low as $500, one can get the required equipment and start their business. This option is slightly profitable, but depends on location.",carpet & floor covering,4.0
44,"Dry Cleaner. One could start this business for as low as $2000 if one does all the cleaning and care work on his own. One would need to bring in enough money to purchase supplies, set up a booth, and advertise in order to make this business a thriving business. The lower the starting up cost, the better the profit margin.",dry cleaner,4.0
45,"Cleaning and Care Shop. This business does need a store, but for as low as $500 to $700 to start. This also a viable option for businesses that need more revenue.",cleaning and care shop,4.0
46,"Cleaning Company. For as little as $2000, one can open business as a cleaning company. This option is very profitable in comparison to other options, but demands to be in a desirable location.",cleaning company,4.0
47,Laundry Business. This is extremely profitable. One can create a $4000 business with the necessary equipment and start it without capital and get it up on his own.,laundry business,4.0
48,Laundry Shop. One could set up a business for as low as $3000 and make a very good profit doing laundry on a weekly basis.,laundry shop,4.0
49,"Dog washing. You will need an enclosed building for this, so you will be limited to a location in Florida. You will probably need to purchase equipment, which could cost as low as $700. This is a low cost option, but low demand.",dog washing,4.0
50,Duct Cleaning Inc. One could have the ability to get these services for $600/d. This will save a lot of money for a small business owner without a store.,duct cleaning inc,4.0
51,Home Cleaning and Repair. One could purchase a set of new and properly cared for washing and drying machines for about $2500. This is quite profitable business.,home cleaning and repair,4.0
52,Dry Cleaning Shop. This option can be as low as $3000. One can start with only all the equipment that he or she needs. This option is very profitable because it requires little startup costs.,dry cleaning shop,4.0
53,"Cleaner's. I've seen three different business plans for this. One could have a store and charge the clients for their rent, taxes, supplies, etc, plus any of their services, etc. The rental fees could total up to $5000.",cleaner's,4.0
54,"Car Wash, or Washing Up. One could do this for $2000, including the required space. This option is quite profitable, but the cost of running and managing the business comes in to play.","car wash, or washing up",4.0
55,"Dental Care. The low interest rate makes this business profitable to start up. It is a good option for someone with a dental emergency, or if the business is too close to the dentist's office and the waiting time is more than a few minutes.",dental care,5.0
56,"Dental Practices. Dental offices could be an option of starting up for as low as $3000. This is not a viable option, though, because dental offices have high overhead costs and are hard to run profitably.",dental practices,5.0
57,"Dental Office. This is an additional product that will need to be offered in addition to dental. For this, one can acquire a dental chair, office space, and an overhead door from a dental office or hospital, and then rent space in a dental office or hospital. This does not have to have a store, just an office as an on going business. This option is not too profitable.",dental office,5.0
58,"Dental Shop. One could start a dentistry business for as low as $2000. This would be profitable. This is due to low costs for office space, and good profits from the high dental patients. This is a very viable business to start.",dental shop,5.0
59,Beauty Pageant. This option requires less capital and has a higher profit margin. These are not many other options.,beauty pageant,5.0
60,"Custom Tattoos. One could set up a custom tattoo shop for as low as $2000, excluding rent, taking the total up to about $10,000 to start up.",custom tattoos,5.0
61,"Dental Esthetics. This business uses dental tools and equipment, which are not very profitable, but can be profitable with the use of dental materials.",dental esthetics,5.0
62,"Dental cleaning. One could purchase a new dental cleaning chair for as low as $2000, which would not be difficult either once everything is bought or if someone has to borrow money to buy a used product, which is also fairly rare.",dental cleaning,5.0
63,Beauty Salon,beauty salo,5.0
64,"Pet Sitting. In this business, one could obtain a room with pets available. This can be an all inclusive service, with no furniture required, and costs ranging anywhere between $1000 and $5000 (depending on the amount of pets one is willing to bring.",pet sitting,6.0
65,"Pet Food and Pet Care. This business does not necessarily need a store. It can be started with an additional service offered such as ""Soothing Pills"". ""Soothing Pills"" can be offered for as low as $1500. This service will not need any additional equipment, but will require at least $1500 in additional start up.",pet food and pet care,6.0
66,Dog Wash. One can open a dog wash for as low as $1000. This small service is a profitable option and can be well-managed with a good location.,dog wash,6.0
67,Pet Services. A small pet sitting service as low as $3000 per hour,pet services,6.0
68,"Dog House. For as low as $2500, one could open a private dog house for one pet (and for as low as $1000 without the fee, one can also add an extra pet with no extra charge). This is reasonably profitable as well as a good option.",dog house,6.0
69,"A pet food store. One can purchase one of these for a small investment, and start this business at around $300 to $500 per week. This is a slightly profitable business that makes little effort.",a pet food store,6.0
70,"A Pet Shop. For as low as $500, and most businesses are open around the holidays, this business is profitable in the cold months. Most of the time, animals have low demand and could go to their homes.",a pet shop,6.0
71,"Pet Supplies. One could set up a pet supplies business for as low as $6000 and get the entire inventory up and running. These kind of businesses are not too profitable compared to other business ideas, however they do have a high demand, so it's not hard to get a loan.",pet supplies,6.0
72,"Pet Clinic. This is a good option if you plan to run the clinic in your own residence with only one person. If you plan to run it in a facility, the start up cost is higher, but should be lower than $3000. You will also need to have more than just a license if you want this business to be sustainable.",pet clinic,6.0
73,"Pet Care Business. This option requires some knowledge on how to run the business, but could cost an as low as $2000 to start the business.",pet care business,6.0
74,"Dog Walkers. As with service, demand depends on location. You could set up a good number of dog walkers, and get a good number of customers, which might net you $3000 per month or $10,000 for a year.",dog walkers,6.0
75,Dog Breeding. In this case it would be wise to get a loan of a few thousand to purchase all the requirements. The costs would come down because of the smaller number of animals to have for the business.,dog breeding,6.0
76,"Dog grooming. The owners usually charge $100 for an initial consultation and $100/hour for a dog grooming service. At this rate, it’d take about 15 years to make $20,000 and if it’s taken into consideration that most dogs need a lot more care and grooming, it’s more likely to fail.",dog grooming,6.0
77,"Dog Day Care. Any business with low profit margins in the summer season could have the dog daycare business as their only asset. If business is thriving during summer months, one can purchase an additional property to increase profit margins or even have a second property to help expand in the spring and fall seasons.",dog day care,6.0
78,"Pet food manufacturing. This is a profitable business, and could make more from a $5",pet food manufacturing,6.0
79,"Dog Boarding Business. If one is living on a large enough lot or has room in their home, they can easily rent one. The drawback to this is the high start up cost of the business. The other drawback is high initial cost at which the entrepreneur may experience loss which then becomes more attractive towards higher profit margins. This would be a business for people with large lots of property or with plenty of room in their homes.",dog boarding business,6.0
80,"Pet-Gone. One could invest as less as $800 for a pet-gone business, which could have profits in the range of $3000. The profits of this business greatly depend on the need of the animal clientele, which would be lower if a human clientele is interested.",pet-gone,6.0
81,Dog & Cat sitting. One could get set up to do this for about $3000 or less. There are certain areas that offer a higher rate.,dog & cat sitting,6.0
82,"Pet Salon. One could also consider an animal grooming business for as low as $6000 (with a little research of the competition), so one could have a great start off the gate. The small size of the business does not necessarily make it difficult, in fact it can help, but the owner will need to be very careful so they don't waste too much time. This is one of the best business ideas that you could consider if you plan to start up your own store.",pet salon,6.0
83,Pet Care. One could purchase a pet cleaning service for $1000 and start this business for $6000. This works great in a busy area.,pet care,6.0
84,"Pet Care Center. This is an idea that is also fairly profitable. Pets can spend a considerable amount of their time in a room, so these small businesses are very feasible to get the start up costs down.",pet care center,6.0
85,Dog Food. This does not require a store. One can buy the necessary materials that one needs or can also find suppliers that sell the products.,dog food,6.0
86,"Pet Store. One can start this business with as little as $2500. This is very lucrative, and will be an excellent business.",pet store,6.0
87,"Convenience Store. One could set up a convenience store for about $100,000, taking up about two-thirds of the initial cost. This business requires a truck, but does not need to get customers.",convenience store,7.0
88,"A clothing store. One can choose to set up their own apparel store or outsource it to a company that can help it run. For as low as $50,000, one can put up the store and get it up and running. The only downside is that there may be no sales due to bad economy.",a clothing store,7.0
89,"Small Electronics Shop. The small electronics shop is pretty profitable. One should plan to set up a store for around $8000 for one to two employees, making it a profitable business.",small electronics shop,7.0
90,Video/DVD rental store. One could set up a video disk rental store.,video/dvd rental store,7.0
91,Computer Store. This is one of the profitable options that would be ideal if the cost to rent the store is low. One could rent the business space for as low as $600 and start up without putting too much work in setting it up.,computer store,7.0
92,"A Video rental shop. For as little as $3000, one could open up a video rental store. In areas with a high number of people and a medium-high to high rent, the rental business is moderately successful.",a video rental shop,7.0
93,"Home Depot Sales. A good number start their service with just a home depot truck. For as low as $2000, one can purchase all the required equipment, but then one purchases materials for their own stores with the assistance of a local store or another individual willing to finance the project. These are not highly profitable, but can afford to get their business started on a $2000 loan.",home depot sales,7.0
94,"Online Stores Business. One could open a small shop on the internet for a small monthly fee. Of course this would require the need for a computer, a domain name and an account. Once one makes the necessary arrangements, one could set up a small store and sell as many products as one can afford.",online stores business,7.0
95,"Biking store. This is another option, because it does not need a store. One can get a bike for as little as $1000 and start biking to earn money. This is quite lucrative and not too expensive.",biking store,7.0
96,"Barter/Swap Shop. One could set up a barter and swap shop to provide services and sell products for as low as $4000. This should provide quite a little profit, although it really depends on demand. This is a great business for a startup.",barter/swap shop,7.0
97,"Personal Shopper. This is the best option when there is no specific store market. For as low as $2000, one gets all the equipment required to start a business. This is a moderate to high profitable business, depending on one's location.",personal shopper,7.0
98,"Tv Store. One could set up a store for as low as $2000 for as much as possible, depending on location, and not all locations are good business locations.",tv store,7.0
99,A hardware store. This is a more common option that a small business needs to make a profit. One has to look for locations that would be a perfect fit for this business.,a hardware store,7.0
100,"Video store. You could start by renting video tapes for a price of $200, this will not bring in too much money. You could also buy them at the retail price and run the video store.",video store,7.0
101,"Home based online store. One could start this business through a website for an extremely low cost. In a matter of a couple of years, they could make money from this business.",home based online store,7.0
102,"Small retailing stores. There are a few options for this. This business can be a grocery store, a barber shop, a pet shop, etc. The total can even be up to an additional $10,000 to start the business without rent.",small retailing stores,7.0
103,"Home Depot. The average cost of starting up a store in the area would be around $6000, including start-up costs.",home depot,7.0
104,"Grocery Stores. This one looks a lot more profitable than cleaning services, but it also depends on what kind of items you sell. This could make you a profitable business if you are dealing with fruits, vegetables, meats, and other foods. Grocery stores can be as low as $5000.",grocery stores,7.0
105,"Small grocery stores. This is also a viable option if one lives in a remote area but the economy is good. The most cost effective business would be a small grocery store with a small neighborhood grocery, as per the economy.",small grocery stores,7.0
106,"Grocery. One could open a grocery store for about $1800, which makes it reasonably profitable. This business is best suited for a large city, but you could always open a small scale store.",grocery,7.0
107,"Video Game Store. Buying a game store does not guarantee the success of the video game business, but it does save money on rent. It is possible to purchase a video game store costing no more than $3000.",video game store,7.0
108,Music CD store. One could operate a music CD store using CDJs (cassette players for storing compact discs). CDJs costs the most of these options. This business would possibly be profitable for as low as $5000.,music cd store,7.0
109,"Book Shop. As above, one could set up a book shop for about $400 per month. However, books are also in demand in summer months, making this business more profitable.",book shop,7.0
110,Book store. One who can open a book store for as low as $3000 can enjoy an extremely lucrative business for many years.,book store,7.0
111,"Online Bookshop. One could set up an online shop for as low as $2500 and get it up and running. A start up cost of $250,000 would be necessary to start this business, but one would be able to make decent money in this way. The money saved in rent, equipment, etc. will enable one to get into more business.",online bookshop,7.0
112,"Small Retail. If one starts this business with $2000, or less, then it is a viable option. If one starts this business with $12000, then this business is not viable due to a very competitive market.",small retail,7.0
113,"Lawn Care services. These are not necessarily high profitmaking businesses. The most profitable business is a mower & grass cutter. You could start at about $3000, or more if there are lots of customers.",lawn care services,8.0
114,"Home Health Care. A home healthcare company would need a store to sell and serve its clients. One could set up a store for $5000. By the time you have invested on the equipment and set up your business, this could easily bring you money, which will cover up the equipment.",home health care,8.0
115,Funerary Home.,funerary home,8.0
116,"Lawn care, landscaping. This option can be used for either or both of the options 1) cleaning and care or 2) landscaping. One could potentially buy the tools to start an all-inclusive landscaping business, for as low as $12000. If one purchases the tools, this business does not have to worry too much about the low investment. The only problem with this option is that there is competition in the market. If one purchases the tools that do not exist, as","lawn care, landscaping",8.0
117,"Home Care Assistance. This service is very lucrative, though it is harder to get than the service above. The start-up prices are as high as $20000, however, so you need to ask someone who wants you, to lend you a loan of $50,000. Even with this high interest rate, it is still a profitable business.",home care assistance,8.0
118,"Electrician/HVAC Service. One could set up a service shop to repair various electrical devices, as well as electric and gas heating units that do not include a gas station. This company would be moderately profitable, although it would also have expenses to be taken care of.",electrician/hvac service,8.0
119,"Housecleaning. This option is available to anybody with a yard. For as small as $1000, one can set up a cleaning service. The low start-up cost makes it an affordable option for almost every person interested in a cleaner.",housecleaning,8.0
120,Lawn mowing and watering. One can start a lawn mowing business for about $2200. Another option is hiring professional landscapers to mow your lawn. This business is definitely not feasible for many because of high rates. But a successful business in this type can make a very good living.,lawn mowing and watering,8.0
121,"Lawn Care. One could purchase a lot with lawn, and rent out that. This is the most profitable and most widely accepted among all the above businesses. The minimum cost to start is around $1500.",lawn care,8.0
122,Lawn mowing service. This service is quite profitable if demand is great and there is a high demand of mowing service in that area.,lawn mowing service,8.0
123,Lawn and Garden service. It is very cost effective to get a lawn mower for as low as $1500 and have the business up and running in a day or two.,lawn and garden service,8.0
124,"Home Improvement Service. A typical home improvement service business does not always come up with huge profit margins. A minimum investment of $7500 is quite feasible, or one can just start their own service business with a $2500 initial capital.",home improvement service,8.0
125,"Home Services. As low as $5000, one can install carpet, tile or wood floors, and a carpet or tile cleaner starts their home services. As low as $3000, one can install a vinyl and tile shower, and start their cleaning company.",home services,8.0
126,"Home cleaning and care. This option costs about the same of the first two. However, it is very likely that there will be demand. Some people do not have the time to wash their homes and this business can fill the demand.",home cleaning and care,8.0
127,"House keeping. This business could be up and running for a lower price than the above two options. This business needs a lot of space, and if possible, would require a large lot size. For as low as $800, one can open a small business while also saving money.",house keeping,8.0
128,"Housekeeping services. This business does not necessarily needs a store, but it does need a set up. For example, one could rent a location in a suburb for under $1000. It would require some set up, but the monthly cost would be less than $500.",housekeeping services,8.0
129,"Home Care. This business could be run as a home care service for as little as $4000. This business is not profitable, but can be run for a very low income level and start running for as low as $3500.",home care,8.0
130,Lawnmower Repair Service. One could set up this service and charge customers about $1500. This does not necessarily need a business of any size but this is a good money earner.,lawnmower repair service,8.0
131,Home Care/Personal Care. A home care business like this costs from as little as $2500 to as much as $5000. Here the demand depends on location.,home care/personal care,8.0
132,"Home & Garden services. This is the best option as far as profitability but it would cost you more than $4500. A home and garden store does not have to be in a rural area, however it does cost a good deal more to buy one.",home & garden services,8.0
133,"Lawncare Company. One can start a lawnmowing company for as low as $3000 or $5000. This business is profitable for summer months, but is not viable during the winter months.",lawncare company,8.0
134,Personal Care & Service. The total start up costs for a personal care business start at about $6000 and then depends on the particular person and the type of service that will be given. This business does not necessarily have to have a store to be profitable.,personal care & service,8.0
135,"Lawn Care Shop. This business is not too profitable for the starting down low cost of $3100, but it does not need too much space, so it is feasible. However, the overhead is not high, so a loan would not be feasible.",lawn care shop,8.0
136,"Business selling crafts. One could set up a shop for crafts and sell them on the streets, charging as much as possible. Profit is in the high hundreds because there is more demand this time of year.",business selling crafts,9.0
137,"Jewelry and Watch Making. One could open up a jeweler or watchmaker shop for as small as $2000, saving enough to get them started. This is a very profitable option that should be started very small by anyone who has the opportunity to start with reasonable cash flow.",jewelry and watch making,9.0
138,Jewelry making services. One could get started with $1000 to get the necessities for starting one up. This is not too successful with demand also dependent on location.,jewelry making services,9.0
139,"Jewelry services. This type of business could cost quite a bit to start, but would be highly profitable if it is able to maintain it's current level of services over a period of time. The costs to pay these people is quite large, so a loan would not be feasible.",jewelry services,9.0
140,"Jewelry and Antiques. This is another profitable business; though the profits do not seem to reflect the expense. This business requires a special and unique product that is not found in any other store to make money. For example, the prices of diamond jewelry can increase several hundred dollars per item, so the overhead also requires a great deal of work, but the returns are high.",jewelry and antiques,9.0
141,"Jewelry and accessories. This option does not require any real skill or knowledge, and all the necessary equipment is around the house, so one could start this business for as little as $500 to $7000 as income.",jewelry and accessories,9.0
142,"Jewelry Designer. For as low as $3000, one can start a business designing and selling jewelry. This is a very profitable option because a shop front offers a place for people to see one or more of one's creations. Also, it is relatively easy for this type of business to expand.",jewelry designer,9.0
143,"Jewelry Making. Even with only $3000, one can make one to two hundred dollars in profit per month. You will need a good location to compete.",jewelry making,9.0
144,"Jewelry studio. This option is a bit pricey, but is moderately profitable. In this option, one can expect to earn as low as $3000 per annum.",jewelry studio,9.0
145,"Jeweler. Many people buy jewelry through auction houses, but due to high interest rates, the cost of purchasing jewelry is much higher than it would be if one had to go through the process of a traditional loan.",jeweler,9.0
146,"Customized clothing. One can choose from a number of custom made outfits for as low as $2000 to $5000. These are very profitable if one has the required skills. (If not, one could hire a tailor.)",customized clothing,9.0
147,Jewelry and costume shop. One could purchase a simple jewelry and costume store for as low as $5000. This is a decent choice.,jewelry and costume shop,9.0
148,"Bar. One can start their own bar in their backyard for as low as $6000. This is not a high-profit business either, but does allow a person a chance to earn even more money.",bar,10.0
149,"Bait Shop. This is another business where a store is not needed. A small bait shop that does not advertise in advance can sell bait for a profit. This is not a good way to start if one has no customers, but can be a good way to diversify.",bait shop,10.0
150,"Music and DJ’s. Music and DJ’s are not very lucrative in South Florida, but it is the most profitable of all options for a store. A $7000 to the store is fairly standard. In addition to regular payments, one can get an additional $10 to $15,000 of personal loans to be used to either pay expenses for the store or to pay off a loan.",music and dj’s,10.0
151,"Bait and Tackle. One could open a business selling bait or fishing tackle. This business can be very profitable, since people might be willing to eat fish that are caught in their bait store. However, this type of business would have a higher risk of failure.",bait and tackle,10.0
152,"Bar Brothels. This is a risky venture, but the potential for high profits makes it worth pursuing. One could start a business that offers sex for a fee and charge 10% tax. By only charging the minimum $100 per act, one can make $50,000 of profit per month with no overhead.",bar brothels,10.0
153,Bar-Liquor Store. One can acquire a bar-lounger and set it up to be a profitable business to operate.,bar-liquor store,10.0
154,"Bar & Billiards. One can start a bar & billiards establishment for as low as $1800 to $2500 in the first year. After that, the income goes up quite a lot because the cost of labor increases exponentially.",bar & billiards,10.0
155,"Bikes Rental Shop. In this case, the start up cost is $1000 plus $2000 for a license. This would make up the remaining $1000 to be loan for the startup.",bikes rental shop,11.0
156,"Gas Station. This business does not necessarily need a store as in option three, but it can make a lot of money with its high profit margins.",gas station,11.0
157,"Lawn Mower Repair shop. For the low as $6000, one can open a mower repair shop for mowing grass, which are not very profitable yet.",lawn mower repair shop,11.0
158,"Bicycles. Buying a bike would cost anywhere from $3000 to $4000, depending upon if the shop is going to need a larger selection of bikes. This would give you much higher profits, but you still would not have that much to pay back on and it would not require large physical assets due to the low initial purchase cost.",bicycles,11.0
159,"Car Service. One could purchase a car service or a car detailing service, with a small monthly payment. This business requires a large initial investment, and is quite unlikely to be profitable. However, one could make enough money to get it paid off with a small loan.",car service,11.0
160,"Car sales. There are many cars up for sale at a reasonable price for someone who wants to purchase and resell them. With a little bit of research, one can find cars that one can resell to make good profits, and thus get into the business.",car sales,11.0
161,"Carwash. One could just use the car to wash the cars and get a profit on that. This is just as profitable as car services, and possibly higher than regular car wash services.",carwash,11.0
162,"Airplane rentals. One could rent an airplane for as low as $2000 and get set up for business. Most aircraft have annual maintenance fees that are quite high for a small owner, making the plane slightly more profitable.",airplane rentals,11.0
163,"Car Wash & Tire Shop. This business needs to use extra space for their services. One can rent this extra space for $2000 to $3000, depending on number of customers they receive.",car wash & tire shop,11.0
164,Tires and Tire Repair. This is a very profitable option that can be expanded from a single location to 5 locations at a cost of $5000 to $7000 each.,tires and tire repair,11.0
165,"Gasoline Station. I know this business is not profitable. But on the contrary, there are many ways to make it. One can make it such that customers come to drive to the station, but in the parking lots would be filled with people wanting to buy a certain type of gas. By getting some business on the streets, you can easily start this gas station business that is profitable. Also, you can use the extra profit to pay off the loan.",gasoline station,11.0
166,"Gas Grill. Gas grills are quite profitable during the summer season and moderately profitable during the winter season, making them very feasible for operation. You can set up these gas grills to be used as sit down restaurants and could make about $700 to $1000 profit per week during the summer and winter seasons.",gas grill,11.0
167,"Car washes. To do this, one first does a small cleaning business, then does a small auto-wash business, then does a business for all cars of a certain make & model. This business is a little more profitable, but its a little more money to start and more maintenance on the vehicles.",car washes,11.0
168,"Electric Bike. This is a great option in terms of low start up costs, yet the same options as the woodworking shop (same equipment and similar business ideas to the woodworking shop, such as selling coffee/tea cups). These electric bikes are fairly profitable and are ideal for the summer.",electric bike,11.0
169,"Gasoline service station. This is probably the best option. For as little as $1000, one can get everything that one will need, which usually include gas, fuel, and other maintenance.",gasoline service station,11.0
170,"Custom car sales. Since vehicles are quite profitable at this time, one may be able to secure a lease to sell such autos. In fact, this is the largest opportunity that they may have.",custom car sales,11.0
171,"Car Wash business. Starting from $8000 in start up expenses, one can set up a car washer business with a little capital.",car wash business,11.0
172,"Dumpster Rental. One could rent a dumpster and start a business renting out those same dumpsters. They could price $12,500 for a large dumpster with four wheels and four arms, and $3500 for the small one with eight wheels and 4 arms. However after the first 30 days, there is not much of a profit, so you will need that money upfront to keep the business running.",dumpster rental,11.0
173,"Bikes Rental business. One could go with this option since it is pretty profitable and it would not require a store. As low as $8000, one can rent out their bike and have enough money to start up. This would be moderately profitable if a good number of bikes were rented out.",bikes rental business,11.0
174,"Carwash/Gasoline Station. This business would be more profitable to operate in warmer climates. By running a gas station, instead of a carwash, the high profit margins in summer months would make up for the lack of profits in winter months. The only time this could be profitable is at the beginning of the year when there is a huge rush of drivers for gas or oil.",carwash/gasoline station,11.0
175,Bikes. This option is not very profitable but one would be able to lease these as rental bikes. The rental for as low as $2000 would make it possible to start one for less than $100/month.,bikes,11.0
176,"Tires and Rims. One can purchase a used car that has over 100,000 miles and sell it to a buyer who is willing to pay that amount. This would be one of the least profitable but most lucrative of all options since one does not have to pay for the loan on it.",tires and rims,11.0
177,Car Rental Service. The most profitable and high margin businesses in today's economy are Car Rental & Car Service. These two options have the highest profit margins.,car rental service,11.0
